date,city,cid,industry,platform,number,amount
202304,臺南市,D,其他製造業,使用載具,124,110376
202304,臺北市,A,化學原材料、肥料、氮化合物、塑橡膠原料及人造纖維製造業,無載具,483,39723363
202502,南投縣,M,未分類其他服務業,無載具,415,252776
202502,臺北市,A,廢棄物清除、處理及資源回收處理業,使用載具,457,867317
202304,新竹市,O,零售業,無載具,5497455,3285923130
202304,桃園市,H,印刷及資料儲存媒體複製業,無載具,86,32631584
202502,嘉義縣,Q,金融服務業,無載具,3147,2021311
202502,臺南市,D,其他專業、科學及技術服務業,無載具,1559,10409792
202304,宜蘭縣,G,郵政及快遞業,使用載具,1748,399795
202502,澎湖縣,X,租賃業,使用載具,12,2957
202304,桃園市,H,飲料製造業,使用載具,37,92795
202307,新竹縣,J,影片及電視節目業；聲音錄製及音樂發行業,使用載具,10192,1241252
202302,新竹縣,J,不動產經營及相關服務業,使用載具,8893,14308386
